Varlık,Fiyat,EMA_Durumu,RSI,StochRSI,TSI,SSL&EMA_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,Supertrend_Sinyal,Alim_Bandi,Satim_Bandi,BB_Fiyat_Durum,BB_Sikisma,BB_Bant_Durum,Destek_Direnc
AHSGY,14.42,-10.17,20.31,0.0,-0.78,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🔴 SAT,-,🟢 POTANSİYEL DİP,🔴 Düşüş Trendinde,-,20.46-21.30 (%41.9 üstte),🚨Fiyat Bandın Altında!,⚪ Yelpaze Açık,-7.54,EMA5 Direnç: 16.05 (%11.3 üstte)
ASELS,380.25,17.69,48.27,0.0,-0.36,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🟢 Yükseliş Trendinde,171.28-177.57 (%53.3 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA55 Destek: 378.39 (%0.5 altta) | EMA21 Direnç: 385.34 (%1.3 üstte)
BIMAS,412.75,18.98,58.34,49.25,0.3,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🔴 SAT,-,-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 410.24 (%0.6 altta)
ENJSA,114.5,13.88,56.61,43.38,0.56,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,99.10-103.00 (%10.0 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 113.15 (%1.2 altta)
ENKAI,86.9,0.69,50.6,81.55,0.88,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,-,110.50-113.50 (%27.2 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA21 Destek: 86.44 (%0.5 altta) | EMA5 Direnç: 87.20 (%0.4 üstte)
GLRMK,155.0,-5.52,35.23,0.0,-0.6,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🩸 SAT (Trend Kırıldı),147.60-154.40 (%0.4 altta),195.30-205.40 (%26.0 üstte),🚨Fiyat Bandın Altında!,🟡 Normal Genişlik,-3.25,EMA5 Direnç: 164.05 (%5.8 üstte)
IZENR,6.47,-10.07,16.06,0.55,-0.83,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,🟢 POTANSİYEL DİP,🔴 Düşüş Trendinde,-,9.39-11.03 (%45.1 üstte),🚨Fiyat Bandın Altında!,⚪ Yelpaze Açık,-7.28,EMA5 Direnç: 7.19 (%11.2 üstte)
MGROS,516.0,-2.74,27.7,1.18,-0.85,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,415.39-429.68 (%16.7 altta),693.50-706.00 (%34.4 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 530.55 (%2.8 üstte)
MIATK,27.92,-0.91,33.21,8.05,-0.95,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Düşüş Trendinde,-,53.15-57.85 (%90.4 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Direnç: 28.18 (%0.9 üstte)
MPARK,416.0,1.32,41.82,4.58,-0.83,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🔴 SAT,-,-,🟢 Yükseliş Trendinde,394.00-407.00 (%2.2 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA200 Destek: 410.58 (%1.3 altta) | EMA5 Direnç: 419.39 (%0.8 üstte)
OBAMS,5.27,-1.02,48.44,47.97,0.52,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🟢 Yükseliş Trendinde,-,8.26-8.82 (%56.7 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA21 Direnç: 5.32 (%1.0 üstte)
OYAKC,21.06,-2.39,42.48,3.6,-0.01,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🩸 SAT (Trend Kırıldı),20.10-20.66 (%1.9 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA55 Direnç: 21.58 (%2.4 üstte)
TCELL,96.6,-1.32,35.68,29.77,-0.77,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,119.50-123.40 (%23.7 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Direnç: 97.89 (%1.3 üstte)
ULKER,88.65,-1.5,41.14,12.49,-0.59,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🩸 SAT (Trend Kırıldı),-,109.08-111.46 (%23.0 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Direnç: 90.00 (%1.5 üstte)
