Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,BB_Bant_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI
AHSGY,18.94,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0.0,EMA55 Destek: 16.64 (%12.1 altta) | EMA5 Direnç: 19.32 (%2.0 üstte),5.35-5.78 (%69.5 altta),-,-,49.87,13.63,-0.35
ASELS,387.5,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,0.0,EMA5 Destek: 369.33 (%4.7 altta),-,-,148.67,56.06,12.1,-0.55
BIMAS,374.75,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0.0,EMA21 Destek: 368.97 (%1.5 altta) | EMA5 Direnç: 380.37 (%1.5 üstte),-,-,73.39,54.45,32.16,-0.19
ENJSA,106.2,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0.0,EMA55 Destek: 95.87 (%9.7 altta) | EMA21 Direnç: 107.25 (%1.0 üstte),49.53-62.47 (%41.2 altta),-,72.43,50.53,36.72,-0.41
ENKAI,87.65,🔴 Düşüş Trendinde,🔴 SAT,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0.0,EMA55 Destek: 84.39 (%3.7 altta) | EMA5 Direnç: 88.36 (%0.8 üstte),-,-,61.71,45.14,3.78,-0.93
GLRMK,179.0,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0.0,EMA21 Destek: 174.11 (%2.7 altta),-,-,-,51.49,51.75,-0.5
IZENR,8.47,🔴 Düşüş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0.0,EMA100 Direnç: 8.63 (%1.8 üstte),4.20-4.54 (%46.4 altta),-,-,43.61,20.51,-0.8
MGROS,555.0,🩸 SAT (Trend Kırıldı),🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🚨Fiyat Bandın Altında!,-4.58,EMA100 Destek: 538.03 (%3.1 altta) | EMA55 Direnç: 590.48 (%6.4 üstte),150.78-162.32 (%70.8 altta),-,36.44,39.11,15.19,-0.76
MIATK,32.94,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0.0,EMA5 Destek: 32.69 (%0.7 altta) | EMA21 Direnç: 37.75 (%14.6 üstte),-,56.45-65.75 (%71.4 üstte),3.99,41.89,7.73,-0.92
MPARK,438.25,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0.0,EMA21 Destek: 430.16 (%1.8 altta),6.00-71.00 (%83.8 altta),-,62.27,52.9,29.38,-0.79
OBAMS,5.04,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,-,⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0.0,EMA5 Direnç: 5.16 (%2.3 üstte),-,-,-,30.4,6.24,-0.96
OYAKC,21.82,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0.0,EMA21 Destek: 21.78 (%0.2 altta) | EMA55 Direnç: 22.25 (%2.0 üstte),-,-,32.69,48.94,56.04,-0.26
TCELL,104.1,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0.0,EMA55 Destek: 103.88 (%0.2 altta) | EMA5 Direnç: 104.54 (%0.4 üstte),-,-,40.18,47.03,22.49,-0.33
ULKER,90.7,🔴 Düşüş Trendinde,🔴 SAT,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0.0,EMA200 Destek: 81.57 (%10.1 altta) | EMA5 Direnç: 91.88 (%1.3 üstte),-,-,11.19,36.02,12.74,-0.97
