Varlık,Fiyat,EMA_Durumu,RSI,StochRSI,TSI,SSL&EMA_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,Supertrend_Sinyal,Alim_Bandi,Satim_Bandi,BB_Fiyat_Durum,BB_Sikisma,BB_Bant_Durum,Destek_Direnc
A1CAP,7.41,-1.37,30.99,17.62,-0.82,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Düşüş Trendinde,-,11.06-12.06 (%49.3 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Direnç: 7.51 (%1.4 üstte)
A1YEN,2.66,0.7,42.71,28.94,-0.76,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,-,2.92-3.12 (%9.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 2.64 (%0.7 altta) | EMA21 Direnç: 2.73 (%2.5 üstte)
AAGYO,12.18,999,39.02,44.11,-0.88,-,⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,18.23-20.20 (%49.6 üstte),⚪Fiyat Alt_Orta Bant Aralığında,-,0.0,EMA5 Destek: 12.07 (%0.9 altta) | EMA21 Direnç: 12.55 (%3.1 üstte)
ACSEL,115.9,1.15,42.54,63.9,-0.79,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,-,129.40-138.40 (%11.6 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 114.58 (%1.1 altta) | EMA21 Direnç: 118.41 (%2.2 üstte)
ADEL,32.52,0.03,49.08,19.82,-0.6,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,28.42-28.92 (%11.1 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 32.51 (%0.0 altta) | EMA55 Direnç: 32.74 (%0.7 üstte)
ADESE,0.87,1.17,50.66,88.56,-0.26,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,1.00-1.07 (%14.9 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 0.86 (%0.8 altta) | EMA55 Direnç: 0.90 (%3.5 üstte)
ADGYO,59.8,9.38,55.85,22.34,-0.82,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔥 GÜÇLÜ AL (Taze Kırılım),🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🟢 Yükseliş Trendinde,-,59.15-65.10 (fiyat bandın içinde!),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 58.95 (%1.4 altta)
AEFES,19.65,6.67,53.72,99.68,-0.15,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🔥 AL (Taze Kırılım),-,21.32-22.08 (%8.5 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA100 Destek: 19.62 (%0.2 altta) | EMA55 Direnç: 19.75 (%0.5 üstte)
AFYON,12.62,0.56,50.59,39.38,-0.45,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,12.68-13.45 (%0.5 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 12.58 (%0.3 altta) | EMA55 Direnç: 12.73 (%0.9 üstte)
AGESA,256.25,12.59,57.29,58.45,0.75,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🔴 SAT,-,-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA21 Destek: 251.48 (%1.9 altta) | EMA5 Direnç: 257.98 (%0.7 üstte)
AGHOL,35.1,11.58,65.53,98.27,0.84,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,35.00-36.04 (fiyat bandın içinde!),🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,1.37,EMA5 Destek: 33.95 (%3.3 altta)
AGROT,1.99,0.65,36.42,13.13,-0.86,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,3.16-3.28 (%58.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 1.98 (%0.7 altta) | EMA21 Direnç: 2.15 (%7.8 üstte)
