Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,BB_Bant_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI
A1CAP,9.18,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 9.44 (%2.8 üstte),4.46-5.73 (%37.6 altta),-,-,34.73,14.18,-0.72
A1YEN,2.8,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 2.57 (%8.1 altta) | EMA100 Direnç: 2.83 (%1.2 üstte),2.18-2.70 (%3.4 altta),-,8.8,44.33,4.7,-0.89
AAGYO,12.87,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,-,-,EMA5 Direnç: 13.89 (%8.0 üstte),-,-,-,7.95,,-0.97
ACSEL,128.5,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA55 Destek: 122.08 (%5.0 altta) | EMA5 Direnç: 129.72 (%0.9 üstte),-,-,28.85,50.13,3.73,-0.76
ADEL,32.42,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Destek: 30.93 (%4.6 altta) | EMA21 Direnç: 33.44 (%3.1 üstte),-,47.64-57.64 (%46.9 üstte),-53.89,47.42,12.54,-0.68
ADESE,0.85,🔴 Düşüş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 0.89 (%5.2 üstte),0.14-0.15 (%82.4 altta),-,-13.85,33.16,0.0,-0.95
ADGYO,55.0,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,-,🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA21 Destek: 54.29 (%1.3 altta),27.44-28.60 (%48.0 altta),-,-,51.25,26.62,-0.8
AEFES,21.58,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 21.27 (%1.4 altta),13.44-13.99 (%35.2 altta),-,58.82,63.39,78.43,0.8
AFYON,12.56,🔴 Düşüş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 12.37 (%1.5 altta) | EMA5 Direnç: 12.78 (%1.7 üstte),2.64-2.81 (%77.6 altta),-,22.88,43.85,22.66,-0.37
AGESA,236.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA55 Destek: 211.97 (%10.2 altta) | EMA21 Direnç: 236.34 (%0.1 üstte),-,-,84.41,51.9,12.66,-0.01
AGHOL,35.26,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 34.60 (%1.9 altta),24.14-25.64 (%27.3 altta),-,51.98,59.67,63.26,0.04
AGROT,2.35,🔴 Düşüş Trendinde,⏳ BEKLE,-,🟢 POTANSİYEL DİP,-,🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 2.51 (%6.7 üstte),-,9.07-11.88 (%286.2 üstte),-,34.16,34.56,-0.91
AGYO,7.33,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 6.72 (%8.3 altta) | EMA5 Direnç: 7.57 (%3.3 üstte),5.90-6.64 (%9.4 altta),-,9.05,40.37,2.12,-0.95
AHGAZ,32.14,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 31.57 (%1.8 altta) | EMA5 Direnç: 33.85 (%5.3 üstte),-,-,-,53.85,15.91,0.6
AHSGY,19.36,🟢 Yükseliş Trendinde,⏳ BEKLE,🔴 ZAYIFLAMA (Zaten Dipte),-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA21 Destek: 19.36 (%0.0 altta) | EMA5 Direnç: 19.51 (%0.8 üstte),5.35-5.78 (%70.2 altta),-,-,51.26,18.69,-0.46
AKBNK,67.4,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 62.66 (%7.0 altta) | EMA5 Direnç: 67.45 (%0.1 üstte),-,-,43.61,47.06,17.88,-0.17
AKCNS,236.4,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,⚪ Karışık / Testere Piyasası,⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 233.74 (%1.1 altta),-,-,79.34,61.59,66.62,0.72
AKENR,10.14,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 8.65 (%14.7 altta) | EMA5 Direnç: 10.57 (%4.3 üstte),-,-,17.26,44.32,2.12,-0.7
AKFGY,2.69,🟢 Yükseliş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 2.58 (%4.0 altta) | EMA55 Direnç: 2.72 (%1.0 üstte),1.76-2.09 (%22.3 altta),-,13.47,44.55,8.07,-0.64
AKFIS,96.55,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,-,-,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 90.93 (%5.8 altta),-,-,-,91.1,97.23,0.96
AKFYE,23.88,🟢 Yükseliş Trendinde,⏳ BEKLE,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 23.04 (%3.5 altta) | EMA5 Direnç: 24.38 (%2.1 üstte),15.20-16.67 (%30.2 altta),-,-,54.09,36.57,0.37
AKGRT,6.43,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🚨Fiyat Bandın Altında!,-3.06,EMA200 Destek: 5.61 (%12.8 altta) | EMA100 Direnç: 6.78 (%5.5 üstte),1.27-1.46 (%77.2 altta),-,14.63,35.97,3.03,-0.8
AKHAN,42.2,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,-,-,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 41.50 (%1.7 altta),-,-,-,68.14,,0.94
AKMGY,258.0,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Destek: 248.76 (%3.6 altta),-,-,53.96,55.91,20.75,-0.53
AKSA,12.54,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 12.38 (%1.3 altta),-,-,55.79,61.8,79.64,0.87
AKSEN,91.4,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 85.02 (%7.0 altta) | EMA5 Direnç: 94.39 (%3.3 üstte),-,-,95.98,58.08,40.43,0.68
AKSGY,9.81,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 9.56 (%2.5 altta),0.51-0.56 (%94.3 altta),-,81.44,66.45,18.28,0.59
AKSUE,42.6,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 37.27 (%12.5 altta) | EMA5 Direnç: 42.68 (%0.2 üstte),10.00-11.73 (%72.5 altta),-,101.44,63.11,27.83,0.74
AKYHO,2.24,🔴 Düşüş Trendinde,🔴 SAT,-,🟢 POTANSİYEL DİP,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,🚨Fiyat Bandın Altında!,-1.38,EMA5 Direnç: 2.36 (%5.3 üstte),1.54-1.70 (%24.1 altta),-,-27.0,32.23,9.8,-0.93
