Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI
A1CAP,9.91,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 10.05 (%1.4 üstte),9.82-10.07 (fiyat bandın içinde!),-,🟢Fiyat EMA 200 altında! Uzaklık: -16.378797478382833,40.53,2.18,-0.74
A1YEN,3.07,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 3.03 (%1.2 altta) | EMA100 Direnç: 3.14 (%2.1 üstte),2.60-2.70 (%12.0 altta),-,⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 1.5280082943186502,49.83,85.24,-0.34
AAGYO,15.22,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 15.06 (%1.0 altta) | EMA21 Direnç: 15.71 (%3.2 üstte),-,18.23-20.20 (%19.7 üstte),-,37.52,50.48,-0.88
ACSEL,130.3,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 124.81 (%4.2 altta) | EMA5 Direnç: 130.40 (%0.1 üstte),-,-,⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 4.399832179426344,39.97,15.24,-0.72
ADEL,30.5,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 30.29 (%0.7 altta) | EMA21 Direnç: 31.31 (%2.6 üstte),28.88-31.00 (fiyat bandın içinde!),32.88-33.92 (%7.8 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -10.946165933074303,38.52,45.06,-0.8
ADESE,0.93,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 0.92 (%1.1 altta) | EMA21 Direnç: 0.95 (%2.6 üstte),-,4.13-4.42 (%344.1 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -46.24864677623513,39.92,31.95,-0.92
ADGYO,50.7,🔴 Düşüş Trendinde,⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 50.87 (%0.3 üstte),-,59.15-65.10 (%16.7 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -4.384167595048338,38.7,25.92,-0.87
AEFES,20.76,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 20.44 (%1.5 altta),13.26-13.70 (%34.0 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 15.06075616202458,53.94,39.0,-0.71
AFYON,13.11,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 12.98 (%1.0 altta) | EMA55 Direnç: 13.15 (%0.3 üstte),12.48-12.81 (%2.3 altta),14.11-14.46 (%7.6 üstte),⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 1.341380285087479,52.41,74.95,-0.37
AGESA,233.5,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 217.82 (%6.7 altta) | EMA5 Direnç: 234.29 (%0.3 üstte),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 7.199609599436396,37.67,8.33,-0.95
