Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,BB_Bant_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI
AIQ,64.26,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 63.82 (%0.7 altta),44.46-45.83 (%28.7 altta),-,15.13,59.02,98.02,0.92
ALUM.L,4.38,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 4.35 (%0.7 altta) | EMA55 Direnç: 4.38 (%0.2 üstte),3.64-3.71 (%15.2 altta),-,4.91,52.94,67.85,0.89
BZ=F,87.86,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 87.44 (%0.5 altta),59.45-60.91 (%30.7 altta),106.87-112.69 (%21.6 üstte),9.77,52.56,68.12,0.08
CCJ,98.64,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA55 Destek: 97.83 (%0.8 altta) | EMA200 Direnç: 99.24 (%0.6 üstte),-,-,-0.6,58.47,94.56,0.94
CGW,65.28,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA55 Destek: 65.00 (%0.4 altta) | EMA21 Direnç: 65.57 (%0.5 üstte),-,-,0.99,48.48,17.12,0.36
COPA,52.5,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 50.95 (%2.9 altta) | EMA5 Direnç: 53.01 (%1.0 üstte),-,54.23-55.84 (%3.3 üstte),15.44,57.57,65.88,0.85
COPX,86.16,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 83.16 (%3.5 altta) | EMA5 Direnç: 86.66 (%0.6 üstte),-,91.20-93.89 (%5.8 üstte),14.16,58.47,64.04,0.85
EEM,66.76,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 66.25 (%0.8 altta),52.58-53.31 (%20.1 altta),-,9.77,56.81,100.0,0.87
EWZ,33.73,🔴 Düşüş Trendinde,🔴 SAT,-,🟢 POTANSİYEL DİP,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 34.15 (%1.3 üstte),-,36.15-36.84 (%7.2 üstte),-2.52,33.96,0.0,-0.85
GC=F,4440.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 4379.12 (%1.4 altta),-,4767.20-4879.70 (%7.4 üstte),3.44,67.65,92.73,0.95
