Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI
AIQ,58.13,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 52.79 (%9.2 altta) | EMA21 Direnç: 58.56 (%0.7 üstte),18.01-19.44 (%66.6 altta),-,45.68,51.42,12.08,0.2
ALUM.L,4.24,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 4.12 (%2.9 altta) | EMA5 Direnç: 4.28 (%1.1 üstte),2.84-2.93 (%30.7 altta),-,14.69,45.11,9.84,-0.81
BZ=F,96.46,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 87.41 (%9.4 altta),58.72-61.50 (%36.2 altta),-,18.37,56.51,37.46,-0.72
CCJ,86.64,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 82.54 (%4.7 altta) | EMA5 Direnç: 92.55 (%6.8 üstte),-,-,37.13,37.47,1.15,-0.93
CGW,64.6,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,⚪ Karışık / Testere Piyasası,🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 64.50 (%0.2 altta) | EMA5 Direnç: 64.99 (%0.6 üstte),53.05-56.64 (%12.3 altta),-,11.36,50.78,82.74,0.36
COPA,48.11,🔴 Düşüş Trendinde,🔴 SAT,-,-,-,-,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 47.82 (%0.6 altta),19.25-23.36 (%51.4 altta),-,-,52.09,9.89,-0.2
COPX,77.84,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 77.32 (%0.7 altta) | EMA21 Direnç: 79.10 (%1.6 üstte),31.97-39.53 (%49.2 altta),-,47.47,49.76,10.92,-0.59
EEM,63.44,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 58.52 (%7.8 altta) | EMA21 Direnç: 63.78 (%0.5 üstte),40.14-44.04 (%30.6 altta),-,28.42,51.33,3.83,-0.01
EWZ,35.81,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 35.39 (%1.2 altta) | EMA21 Direnç: 35.82 (%0.0 üstte),24.32-26.65 (%25.6 altta),-,12.64,50.73,28.56,-0.71
GC=F,4056.6,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 3759.05 (%7.3 altta) | EMA5 Direnç: 4102.10 (%1.1 üstte),1808.80-1843.00 (%54.6 altta),-,31.76,39.05,6.2,-0.95
GLTR,181.51,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 169.91 (%6.4 altta) | EMA5 Direnç: 184.57 (%1.7 üstte),86.64-87.91 (%51.6 altta),-,29.55,39.16,5.99,-0.96
HG=F,6.34,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 6.27 (%1.2 altta),3.69-3.81 (%40.0 altta),-,32.68,61.3,29.9,0.39
IBB,188.6,🟢 Yükseliş Trendinde,⏳ BEKLE,🩸 SAT (Zirveden Dönüş),-,⚪ Karışık / Testere Piyasası,⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 187.68 (%0.5 altta),112.15-117.75 (%37.6 altta),-,28.28,63.59,68.54,0.85
ICLN,17.8,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 17.30 (%2.8 altta) | EMA55 Direnç: 17.87 (%0.4 üstte),11.03-11.84 (%33.5 altta),23.55-25.36 (%32.3 üstte),2.86,41.41,0.0,-0.65
INDA,48.03,🔴 Düşüş Trendinde,🔴 SAT,🩸 SAT (Zirveden Dönüş),-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 48.76 (%1.5 üstte),42.67-43.83 (%8.7 altta),-,-2.34,42.42,54.09,-0.08
IWM,291.67,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 281.14 (%3.6 altta) | EMA5 Direnç: 293.62 (%0.7 üstte),228.90-239.10 (%18.0 altta),-,29.6,62.22,31.3,0.82
MARS,23.37,🔴 Düşüş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 26.88 (%15.0 üstte),-,-,-,46.1,,-0.57
NASA,22.16,🔴 Düşüş Trendinde,🔴 SAT,-,-,-,-,-,EMA5 Direnç: 25.35 (%14.4 üstte),-,-,-,43.2,,-0.61
PA=F,1246.0,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 1256.46 (%0.8 üstte),873.50-922.60 (%26.0 altta),2035.50-2202.10 (%63.4 üstte),-14.32,40.06,22.16,-0.89
