Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,RSI,StochRSI,TSI
2026-07-13 09:49,A1CAP,10.1,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 10.41 (%3.1 üstte),9.82-10.07 (%0.3 altta),-,42.44,0.95,-0.67
2026-07-13 09:49,A1YEN,2.95,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 2.91 (%1.3 altta) | EMA200 Direnç: 3.03 (%2.6 üstte),2.60-2.70 (%8.4 altta),-,39.51,33.47,-0.87
2026-07-13 09:49,AAGYO,14.95,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 15.12 (%1.1 üstte),-,18.23-20.20 (%21.9 üstte),30.35,16.49,-0.84
2026-07-13 09:49,ACSEL,130.9,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 124.70 (%4.7 altta) | EMA5 Direnç: 132.77 (%1.4 üstte),-,-,39.33,16.28,-0.69
2026-07-13 09:49,ADEL,30.2,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 30.41 (%0.7 üstte),28.88-31.00 (fiyat bandın içinde!),32.88-33.92 (%8.9 üstte),33.46,9.95,-0.86
2026-07-13 09:49,ADESE,0.92,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 0.93 (%0.7 üstte),-,4.13-4.42 (%348.9 üstte),32.13,7.14,-0.98
2026-07-13 09:49,ADGYO,51.7,🔴 Düşüş Trendinde,⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 51.80 (%0.2 üstte),-,59.15-65.10 (%14.4 üstte),40.56,13.71,-0.88
2026-07-13 09:49,AEFES,20.46,🟢 Yükseliş Trendinde,🔴 SAT,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 20.27 (%0.9 altta) | EMA21 Direnç: 20.49 (%0.1 üstte),13.26-13.70 (%33.1 altta),-,50.26,15.82,-0.62
2026-07-13 09:49,AFYON,13.15,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 12.98 (%1.3 altta) | EMA55 Direnç: 13.17 (%0.1 üstte),12.48-12.81 (%2.6 altta),14.11-14.46 (%7.3 üstte),53.19,38.72,-0.66
2026-07-13 09:49,AGESA,235.2,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 235.02 (%0.1 altta) | EMA5 Direnç: 239.36 (%1.8 üstte),-,-,36.23,0.0,-0.91
