Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,RSI,StochRSI,TSI
2026-07-17 21:34,A1CAP,9.73,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 10.19 (%4.8 üstte),4.46-5.73 (%41.1 altta),-,35.38,18.0,-0.77
2026-07-17 21:34,A1YEN,2.99,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 2.95 (%1.2 altta) | EMA5 Direnç: 3.05 (%2.2 üstte),2.18-2.70 (%9.6 altta),-,47.65,1.37,-0.53
2026-07-17 21:34,AAGYO,14.83,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,-,EMA5 Direnç: 15.58 (%5.1 üstte),-,-,9.39,,-0.96
2026-07-17 21:34,ACSEL,127.8,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 121.50 (%4.9 altta) | EMA21 Direnç: 131.56 (%2.9 üstte),-,-,49.47,12.18,0.23
2026-07-17 21:34,ADEL,30.02,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 31.07 (%3.5 üstte),-,47.64-57.64 (%58.7 üstte),41.84,1.1,-0.84
2026-07-17 21:34,ADESE,0.92,🔴 Düşüş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 0.95 (%3.6 üstte),0.14-0.15 (%83.7 altta),-,35.74,22.31,-0.9
2026-07-17 21:34,ADGYO,50.0,🩸 SAT (Trend Kırıldı),🔴 SAT,-,-,-,🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 43.62 (%12.8 altta) | EMA55 Direnç: 50.91 (%1.8 üstte),27.44-28.60 (%42.8 altta),-,41.78,3.0,-0.91
2026-07-17 21:34,AEFES,20.8,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 20.62 (%0.9 altta),13.44-13.99 (%32.7 altta),-,60.78,48.09,0.81
2026-07-17 21:34,AFYON,12.85,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 12.35 (%3.9 altta) | EMA55 Direnç: 12.94 (%0.7 üstte),2.64-2.81 (%78.1 altta),-,46.44,31.16,-0.6
2026-07-17 21:34,AGESA,240.2,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 235.37 (%2.0 altta) | EMA5 Direnç: 242.58 (%1.0 üstte),-,-,54.71,18.03,0.36
