Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,RSI,StochRSI,TSI,EMA_200_Durumu
2026-07-13 09:49,AIQ,63.44,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 63.29 (%0.2 altta) | EMA21 Direnç: 63.72 (%0.4 üstte),44.46-45.83 (%27.8 altta),-,49.64,30.59,-0.48,
2026-07-13 09:49,ALUM.L,4.21,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 4.16 (%1.2 altta) | EMA5 Direnç: 4.21 (%0.1 üstte),3.64-3.71 (%11.9 altta),-,37.92,80.79,-0.15,
2026-07-13 09:49,BZ=F,78.95,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 78.92 (%0.0 altta) | EMA200 Direnç: 79.71 (%1.0 üstte),59.45-60.91 (%22.8 altta),106.87-112.69 (%35.4 üstte),46.2,89.37,0.39,
2026-07-13 09:49,CCJ,95.99,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 96.24 (%0.3 üstte),-,-,38.13,10.82,-0.94,
2026-07-13 09:49,CGW,65.6,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 65.20 (%0.6 altta),-,-,58.75,33.9,0.51,
2026-07-13 09:49,COPA,47.66,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 47.26 (%0.8 altta) | EMA100 Direnç: 48.08 (%0.9 üstte),-,-,45.62,29.83,-0.57,
2026-07-13 09:49,COPX,76.54,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 75.72 (%1.1 altta) | EMA21 Direnç: 78.73 (%2.9 üstte),-,-,44.45,32.24,-0.59,
2026-07-13 09:49,EEM,66.9,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 66.70 (%0.3 altta) | EMA21 Direnç: 67.19 (%0.4 üstte),52.58-53.31 (%20.3 altta),-,49.16,21.35,-0.61,
2026-07-13 09:49,EWZ,35.93,🔥 AL (Taze Kırılım),🟢 AL (Trend Onaylı),-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🚨 BB SIKIŞMA,🚨Fiyat Bandın Üzerinde!,EMA55 Destek: 35.73 (%0.6 altta) | EMA100 Direnç: 35.93 (%0.0 üstte),-,-,59.14,89.49,0.72,
2026-07-13 09:49,GC=F,4070.4,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 4096.06 (%0.6 üstte),-,-,40.61,87.33,0.43,
2026-07-13 09:49,GLTR,184.81,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 184.73 (%0.0 altta) | EMA21 Direnç: 189.39 (%2.5 üstte),-,-,40.97,79.15,0.02,
2026-07-13 09:49,HG=F,6.22,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 6.21 (%0.2 altta),5.79-5.90 (%5.2 altta),-,50.22,95.04,0.62,
2026-07-13 09:49,IBB,192.06,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 186.00 (%3.2 altta) | EMA5 Direnç: 194.47 (%1.3 üstte),-,-,64.11,57.31,0.91,
